Metric,Condition,Method,MAE,RMSE,PC
HR,Rest,POS,5.1875,10.491067629178643,0.7023844935157165
HR,Rest,GREEN,8.1875,14.086784586980807,0.5145492956404839
HR,Rest,LGI,5.375,11.090536506409418,0.6781064489798897
HR,Rest,OMIT,5.125,10.857025375304232,0.6910766639187623
HR,Rest,CHROM,5.375,11.543396380615196,0.6585434750871856
HR,Task,POS,5.6875,6.878408246098802,0.7460646908203464
HR,Task,GREEN,16.625,18.7849673941692,0.4300347238732811
HR,Task,LGI,6.1875,8.370334521391603,0.6808214101652815
HR,Task,OMIT,6.625,8.558621384311845,0.6748127849891821
HR,Task,CHROM,5.6875,7.232738070744716,0.7432625161056329
SDNN,Rest,POS,36.875,45.88164120865774,0.4476457985947461
SDNN,Rest,GREEN,46.1875,58.36041038238165,0.3507037464994164
SDNN,Rest,LGI,32.8125,44.4247960040336,0.4785275346136011
SDNN,Rest,OMIT,35.375,46.62215138751107,0.4997743144496698
SDNN,Rest,CHROM,41.75,52.75296200214733,0.42774152656581266
SDNN,Task,POS,32.875,38.89408695418881,0.5271590768973132
SDNN,Task,GREEN,54.125,67.14815708565649,-0.10187659027442693
SDNN,Task,LGI,37.875,46.36944036755242,0.05395900541288422
SDNN,Task,OMIT,37.25,46.652974181717504,0.208770493683538
SDNN,Task,CHROM,33.125,42.7974882440547,0.22349769413130793
RMSSD,Rest,POS,64.25,75.87489703452651,0.27994712343484446
RMSSD,Rest,GREEN,66.3125,82.16408887099035,0.2622144388749473
RMSSD,Rest,LGI,53.875,65.68295060363839,0.32306735464799663
RMSSD,Rest,OMIT,52.5,63.199090183324635,0.33915969226260334
RMSSD,Rest,CHROM,68.8125,79.24132444627614,0.39968470620901614
RMSSD,Task,POS,37.625,46.49865589455248,0.640119812745179
RMSSD,Task,GREEN,71.125,83.77574231243791,0.21844834351938228
RMSSD,Task,LGI,44.1875,53.63709071155892,0.20880085844206867
RMSSD,Task,OMIT,44.5,55.343247103869864,0.3230415357243188
RMSSD,Task,CHROM,49.125,58.18397545716518,0.12588141290536234
