Subject,Task,Method,RawPath,PreprocPath,RawLen,PreprocLen,Fs,RPPGSource
s41,T1,PPG,dataset_numpy\s41\bvp_s41_T1.csv,artifacts\preprocessed\s41_T1_PPG.npy,11520,11520,64,PPG
s41,T1,POS,dataset_numpy\s41\Landmark_s41_T1_POS_rppg.npy,artifacts\preprocessed\s41_T1_POS.npy,6325,11520,64,face_landmarker
s41,T1,LGI,dataset_numpy\s41\Landmark_s41_T1_LGI_rppg.npy,artifacts\preprocessed\s41_T1_LGI.npy,6325,11520,64,face_landmarker
s41,T1,OMIT,dataset_numpy\s41\Landmark_s41_T1_OMIT_rppg.npy,artifacts\preprocessed\s41_T1_OMIT.npy,6325,11520,64,face_landmarker
s41,T1,GREEN,dataset_numpy\s41\Landmark_s41_T1_GREEN_rppg.npy,artifacts\preprocessed\s41_T1_GREEN.npy,6325,11520,64,face_landmarker
s41,T1,CHROM,dataset_numpy\s41\Landmark_s41_T1_CHROM_rppg.npy,artifacts\preprocessed\s41_T1_CHROM.npy,6325,11520,64,face_landmarker
s41,T3,PPG,dataset_numpy\s41\bvp_s41_T3.csv,artifacts\preprocessed\s41_T3_PPG.npy,11520,11520,64,PPG
s41,T3,POS,dataset_numpy\s41\Landmark_s41_T3_POS_rppg.npy,artifacts\preprocessed\s41_T3_POS.npy,6325,11520,64,face_landmarker
s41,T3,LGI,dataset_numpy\s41\Landmark_s41_T3_LGI_rppg.npy,artifacts\preprocessed\s41_T3_LGI.npy,6325,11520,64,face_landmarker
s41,T3,OMIT,dataset_numpy\s41\Landmark_s41_T3_OMIT_rppg.npy,artifacts\preprocessed\s41_T3_OMIT.npy,6325,11520,64,face_landmarker
s41,T3,GREEN,dataset_numpy\s41\Landmark_s41_T3_GREEN_rppg.npy,artifacts\preprocessed\s41_T3_GREEN.npy,6325,11520,64,face_landmarker
s41,T3,CHROM,dataset_numpy\s41\Landmark_s41_T3_CHROM_rppg.npy,artifacts\preprocessed\s41_T3_CHROM.npy,6325,11520,64,face_landmarker
s42,T1,PPG,dataset_numpy\s42\bvp_s42_T1.csv,artifacts\preprocessed\s42_T1_PPG.npy,11520,11520,64,PPG
s42,T1,POS,dataset_numpy\s42\Landmark_s42_T1_POS_rppg.npy,artifacts\preprocessed\s42_T1_POS.npy,6325,11520,64,face_landmarker
s42,T1,LGI,dataset_numpy\s42\Landmark_s42_T1_LGI_rppg.npy,artifacts\preprocessed\s42_T1_LGI.npy,6325,11520,64,face_landmarker
s42,T1,OMIT,dataset_numpy\s42\Landmark_s42_T1_OMIT_rppg.npy,artifacts\preprocessed\s42_T1_OMIT.npy,6325,11520,64,face_landmarker
s42,T1,GREEN,dataset_numpy\s42\Landmark_s42_T1_GREEN_rppg.npy,artifacts\preprocessed\s42_T1_GREEN.npy,6325,11520,64,face_landmarker
s42,T1,CHROM,dataset_numpy\s42\Landmark_s42_T1_CHROM_rppg.npy,artifacts\preprocessed\s42_T1_CHROM.npy,6325,11520,64,face_landmarker
s42,T3,PPG,dataset_numpy\s42\bvp_s42_T3.csv,artifacts\preprocessed\s42_T3_PPG.npy,11520,11520,64,PPG
s42,T3,POS,dataset_numpy\s42\Landmark_s42_T3_POS_rppg.npy,artifacts\preprocessed\s42_T3_POS.npy,6325,11520,64,face_landmarker
s42,T3,LGI,dataset_numpy\s42\Landmark_s42_T3_LGI_rppg.npy,artifacts\preprocessed\s42_T3_LGI.npy,6325,11520,64,face_landmarker
s42,T3,OMIT,dataset_numpy\s42\Landmark_s42_T3_OMIT_rppg.npy,artifacts\preprocessed\s42_T3_OMIT.npy,6325,11520,64,face_landmarker
s42,T3,GREEN,dataset_numpy\s42\Landmark_s42_T3_GREEN_rppg.npy,artifacts\preprocessed\s42_T3_GREEN.npy,6325,11520,64,face_landmarker
s42,T3,CHROM,dataset_numpy\s42\Landmark_s42_T3_CHROM_rppg.npy,artifacts\preprocessed\s42_T3_CHROM.npy,6325,11520,64,face_landmarker
s43,T1,PPG,dataset_numpy\s43\bvp_s43_T1.csv,artifacts\preprocessed\s43_T1_PPG.npy,11520,11520,64,PPG
s43,T1,POS,dataset_numpy\s43\Landmark_s43_T1_POS_rppg.npy,artifacts\preprocessed\s43_T1_POS.npy,6325,11520,64,face_landmarker
s43,T1,LGI,dataset_numpy\s43\Landmark_s43_T1_LGI_rppg.npy,artifacts\preprocessed\s43_T1_LGI.npy,6325,11520,64,face_landmarker
s43,T1,OMIT,dataset_numpy\s43\Landmark_s43_T1_OMIT_rppg.npy,artifacts\preprocessed\s43_T1_OMIT.npy,6325,11520,64,face_landmarker
s43,T1,GREEN,dataset_numpy\s43\Landmark_s43_T1_GREEN_rppg.npy,artifacts\preprocessed\s43_T1_GREEN.npy,6325,11520,64,face_landmarker
s43,T1,CHROM,dataset_numpy\s43\Landmark_s43_T1_CHROM_rppg.npy,artifacts\preprocessed\s43_T1_CHROM.npy,6325,11520,64,face_landmarker
s43,T3,PPG,dataset_numpy\s43\bvp_s43_T3.csv,artifacts\preprocessed\s43_T3_PPG.npy,11520,11520,64,PPG
s43,T3,POS,dataset_numpy\s43\Landmark_s43_T3_POS_rppg.npy,artifacts\preprocessed\s43_T3_POS.npy,6303,11520,64,face_landmarker
s43,T3,LGI,dataset_numpy\s43\Landmark_s43_T3_LGI_rppg.npy,artifacts\preprocessed\s43_T3_LGI.npy,6303,11520,64,face_landmarker
s43,T3,OMIT,dataset_numpy\s43\Landmark_s43_T3_OMIT_rppg.npy,artifacts\preprocessed\s43_T3_OMIT.npy,6303,11520,64,face_landmarker
s43,T3,GREEN,dataset_numpy\s43\Landmark_s43_T3_GREEN_rppg.npy,artifacts\preprocessed\s43_T3_GREEN.npy,6303,11520,64,face_landmarker
s43,T3,CHROM,dataset_numpy\s43\Landmark_s43_T3_CHROM_rppg.npy,artifacts\preprocessed\s43_T3_CHROM.npy,6303,11520,64,face_landmarker
s44,T1,PPG,dataset_numpy\s44\bvp_s44_T1.csv,artifacts\preprocessed\s44_T1_PPG.npy,11520,11520,64,PPG
s44,T1,POS,dataset_numpy\s44\Landmark_s44_T1_POS_rppg.npy,artifacts\preprocessed\s44_T1_POS.npy,6324,11520,64,face_landmarker
s44,T1,LGI,dataset_numpy\s44\Landmark_s44_T1_LGI_rppg.npy,artifacts\preprocessed\s44_T1_LGI.npy,6324,11520,64,face_landmarker
s44,T1,OMIT,dataset_numpy\s44\Landmark_s44_T1_OMIT_rppg.npy,artifacts\preprocessed\s44_T1_OMIT.npy,6324,11520,64,face_landmarker
s44,T1,GREEN,dataset_numpy\s44\Landmark_s44_T1_GREEN_rppg.npy,artifacts\preprocessed\s44_T1_GREEN.npy,6324,11520,64,face_landmarker
s44,T1,CHROM,dataset_numpy\s44\Landmark_s44_T1_CHROM_rppg.npy,artifacts\preprocessed\s44_T1_CHROM.npy,6324,11520,64,face_landmarker
s44,T3,PPG,dataset_numpy\s44\bvp_s44_T3.csv,artifacts\preprocessed\s44_T3_PPG.npy,11520,11520,64,PPG
s44,T3,POS,dataset_numpy\s44\Landmark_s44_T3_POS_rppg.npy,artifacts\preprocessed\s44_T3_POS.npy,6222,11520,64,face_landmarker
s44,T3,LGI,dataset_numpy\s44\Landmark_s44_T3_LGI_rppg.npy,artifacts\preprocessed\s44_T3_LGI.npy,6222,11520,64,face_landmarker
s44,T3,OMIT,dataset_numpy\s44\Landmark_s44_T3_OMIT_rppg.npy,artifacts\preprocessed\s44_T3_OMIT.npy,6222,11520,64,face_landmarker
s44,T3,GREEN,dataset_numpy\s44\Landmark_s44_T3_GREEN_rppg.npy,artifacts\preprocessed\s44_T3_GREEN.npy,6222,11520,64,face_landmarker
s44,T3,CHROM,dataset_numpy\s44\Landmark_s44_T3_CHROM_rppg.npy,artifacts\preprocessed\s44_T3_CHROM.npy,6222,11520,64,face_landmarker
s45,T1,PPG,dataset_numpy\s45\bvp_s45_T1.csv,artifacts\preprocessed\s45_T1_PPG.npy,11520,11520,64,PPG
